"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\vdiuser\github\SSC2026\netlogo\akl_traffic.nlogo"
"sensitivity-kfactor"
"07/25/2026 18:53:33:510 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","k-factor","n-sim-days","[step]","peak-vc-inner","current-sim-day","peak-vc-boundary","peak-vc-peripheral","peak-ef-mwy","peak-ef-cbd","peak-ef-east","peak-ef-west","pct-los-ef-am-g ""MWY""","pct-los-ef-am-g ""CBD""","pct-los-ef-am-g ""East""","pct-los-ef-am-g ""West"""
"6","Exp-Decay","tou","0.12","14","13","0.08031094133003167","13","0.2932620725954054","0.06370067708210714","78.40797025469708","74.79312802910935","77.6998185138431","78.3282889409616","30.521744190869008","66.62968948835343","70.19556011128495","66.22324559434442"
"4","Exp-Decay","tou","0.08","14","13","0.08031094133003167","13","0.2932620725954054","0.06370067708210714","94.33490374038067","85.98054791392408","87.40372730985167","83.47965179982322","86.70980982057162","81.43509491288788","85.86564266400457","81.24182328797029"
"3","Exp-Decay","No-Charge","0.12","14","12","0.09512914559996284","12","0.34734994135230995","0.06743770063167959","87.47728952459816","79.63924569711808","83.08145426734995","81.49317067995555","44.79513508228177","75.65044919527497","75.83880029296346","68.19954187719578"
"1","Exp-Decay","No-Charge","0.08","14","12","0.09512914559996284","12","0.34734994135230995","0.06743770063167959","93.710220931461","89.56887501248465","90.07114158933116","84.67910878492359","90.93211510998866","85.61539240186272","86.76331634114464","84.75323303665219"
"5","Exp-Decay","tou","0.1","14","14","0.09393602198069897","14","0.27009076707115204","0.07344946993494407","91.29117035177616","84.62486670338791","85.89177226381221","82.73436322498583","62.469625194979045","72.72984677003156","76.96400909740318","75.20530828209534"
"6","Exp-Decay","tou","0.12","14","14","0.09393602198069897","14","0.27009076707115204","0.07344946993494407","85.03538542123678","76.45597848172729","82.56659725632491","78.42369236892998","37.48127764883484","66.58430220510475","70.22092118921827","66.29105504673937"
"2","Exp-Decay","No-Charge","0.1","14","13","0.14312117885607442","13","0.3177276226354864","0.0689908376871572","92.24236975575535","86.43795239273759","85.3691753166789","81.9794579120251","72.25143460062935","82.8998727282954","85.58021516068217","79.95370643297602"
"4","Exp-Decay","tou","0.08","14","14","0.09393602198069897","14","0.27009076707115204","0.07344946993494407","93.52575762595279","89.117562267683","89.00751349801413","84.70287718682886","86.02045771409048","81.60590284454608","85.8919993337651","81.37612034057449"
"3","Exp-Decay","No-Charge","0.12","14","13","0.14312117885607442","13","0.3177276226354864","0.0689908376871572","85.94384461830985","82.50960856744844","83.34052996505348","79.51765313163678","47.38996623380268","75.38412561132445","76.94654076781235","67.79444124823527"
"1","Exp-Decay","No-Charge","0.08","14","13","0.14312117885607442","13","0.3177276226354864","0.0689908376871572","94.23826987305296","92.85851107232406","90.43688991881028","85.64091512992316","90.90583193788113","85.63151166087668","86.71188165095732","84.67330975991528"
"2","Exp-Decay","No-Charge","0.1","14","14","0.12478636189357539","14","0.27486781041319963","0.07288915682717567","91.26427020022292","85.49466013367773","86.51813575593447","82.71194058739269","72.30340370716034","83.38058828480517","84.91409794921545","79.68094576253286"
"3","Exp-Decay","No-Charge","0.12","14","14","0.12478636189357539","14","0.27486781041319963","0.07288915682717567","84.18571693619414","80.91006181457395","84.52685439337675","80.95694229809109","47.42973881609221","75.93895188948801","76.96037635637764","67.80561539595408"
"1","Exp-Decay","No-Charge","0.08","14","14","0.12478636189357539","14","0.27486781041319963","0.07288915682717567","94.31723813911105","92.20785354394395","89.68242811292573","86.42391926708557","90.92684081130204","85.64765344539751","86.70629199882329","84.68642077146988"
