link_id,class,group,position,adt_obs,veh_day_model
l_1987,arterial,East,boundary,12259,10200
l_959,arterial,East,peripheral,30388,26400
l_1365,arterial,East,peripheral,12000,16560
l_462,arterial,West,peripheral,16293,3720
l_2398,motorway,MWY,peripheral,90000,144960
l_1745,motorway,MWY,peripheral,85000,206040
l_2141,motorway,MWY,peripheral,95000,173640
l_1207,arterial,East,boundary,21939,0
l_75,arterial,East,peripheral,10821,16560
l_1013,arterial,East,boundary,3000,65640
l_2495,arterial,CBD,inner,20224,123780
l_928,arterial,East,peripheral,25748,40800
l_878,arterial,West,peripheral,16293,1560
l_1549,motorway,MWY,peripheral,90000,145140
l_315,arterial,West,peripheral,12512,13320
l_883,arterial,West,peripheral,17823,19740
l_649,arterial,CBD,inner,8869,31620
l_329,arterial,CBD,inner,25748,25320
l_865,arterial,West,peripheral,28822,2640
l_291,arterial,East,peripheral,12000,3060
l_256,arterial,West,peripheral,8296,5460
l_1172,arterial,East,boundary,3000,51240
l_793,arterial,West,peripheral,16293,1560
l_1141,arterial,West,peripheral,3000,7080
l_624,arterial,CBD,inner,21939,39420
l_197,arterial,CBD,inner,12793,63600
l_178,arterial,West,peripheral,7783,4620
l_540,arterial,East,peripheral,12000,2460
l_2365,arterial,East,peripheral,20224,148500
l_267,arterial,East,peripheral,27324,1500
l_2597,arterial,CBD,inner,30388,34800
l_746,arterial,CBD,inner,3000,37260
l_1320,arterial,CBD,inner,12793,73200
l_753,arterial,CBD,inner,21939,78900
l_531,arterial,East,boundary,8869,33540
l_371,arterial,CBD,inner,25748,19740
l_1074,arterial,CBD,inner,21939,125580
l_642,arterial,East,peripheral,18554,4380
l_511,arterial,East,peripheral,10658,6960
l_211,arterial,West,peripheral,28195,14820
l_901,arterial,West,peripheral,17823,28200
l_510,arterial,CBD,inner,25486,39600
l_754,arterial,West,peripheral,30484,61080
l_2458,motorway,MWY,boundary,90000,218700
l_2622,arterial,West,peripheral,8296,4500
l_521,arterial,East,peripheral,18554,1380
l_935,arterial,East,peripheral,25748,40320
l_874,arterial,West,peripheral,16700,19560
l_1096,arterial,East,peripheral,27324,1500
l_2180,motorway,MWY,peripheral,95000,143340
l_1,arterial,West,peripheral,28195,14820
l_818,arterial,West,peripheral,28822,2640
l_460,arterial,West,peripheral,7783,4620
l_385,arterial,East,peripheral,15906,8700
l_749,arterial,West,peripheral,16734,16740
l_1249,arterial,West,peripheral,8296,4140
l_1771,arterial,East,peripheral,20157,33540
l_379,arterial,West,peripheral,17823,13440
l_382,arterial,CBD,inner,4804,39000
l_2470,motorway,MWY,inner,95000,360
l_1393,arterial,East,peripheral,4863,10140
l_841,arterial,East,peripheral,15481,17880
l_2309,arterial,West,peripheral,12000,19200
l_538,arterial,East,peripheral,8869,32820
l_336,arterial,West,peripheral,18012,2760
l_867,arterial,East,peripheral,12000,8280
l_772,arterial,West,peripheral,43962,18360
l_478,arterial,West,peripheral,43962,10020
l_634,arterial,CBD,inner,25748,19980
l_563,arterial,West,peripheral,34625,2160
l_942,arterial,West,boundary,16700,19560
l_971,arterial,CBD,inner,12793,87600
l_2024,arterial,East,boundary,20224,148560
l_229,arterial,CBD,inner,12512,10440
l_799,arterial,West,peripheral,43962,18120
l_296,arterial,East,peripheral,14414,58740
l_706,arterial,East,boundary,24996,74040
l_2662,arterial,West,peripheral,28195,14580
l_876,arterial,East,peripheral,27324,11580
l_105,arterial,East,peripheral,27324,37740
l_495,arterial,West,peripheral,17823,9420
l_2452,motorway,MWY,peripheral,95000,144240
l_1148,arterial,East,peripheral,25748,30840
l_2461,motorway,MWY,peripheral,90000,144960
l_705,arterial,West,boundary,16700,18660
l_392,arterial,CBD,inner,1564,38220
l_473,arterial,West,peripheral,12562,9180
l_1276,arterial,West,boundary,27326,30600
