id,start,end,maxspeed,streetName,junction
l_355,n_id1205,n_id1204,30 km/h,Grafton Road,None
l_356,n_id787,n_id806,30 km/h,Vincent Street,None
l_357,n_id824,n_id806,30 km/h,Mayoral Drive,None
l_358,n_id806,n_id848,30 km/h,Mayoral Drive,None
l_359,n_id848,n_id862,30 km/h,Mayoral Drive,None
l_360,n_id189,n_id191,40 km/h,Ponsonby Road,None
l_361,n_id1441,n_id1437,50 km/h,The Strand,None
l_362,n_id185,n_id189,40 km/h,Ponsonby Road,None
l_363,n_id1092,n_id1079,30 km/h,Bowen Avenue,None
l_364,n_id1431,n_id1428,50 km/h,The Strand,None
l_365,n_id1284,n_id1279,30 km/h,Beach Road,None
l_366,n_id1279,n_id1274,30 km/h,Beach Road,None
l_367,n_id1049,n_id1071,30 km/h,Quay Street,None
l_368,n_id458,n_id449,30 km/h,Beaumont Street,None
l_369,n_id465,n_id458,30 km/h,Beaumont Street,None
l_370,n_id474,n_id465,30 km/h,Beaumont Street,None
l_371,n_id1252,n_id1257,30 km/h,Symonds Street,None
l_372,n_id1058,n_id1050,50 km/h,Park Road,None
l_373,n_id1320,n_id1319,30 km/h,Beach Road,None
l_374,n_id1526,n_id1527,50 km/h,Gladstone Road,None
l_375,n_id77,n_id82,50 km/h,Richmond Road,None
l_376,n_id1374,n_id1373,50 km/h,Parnell Rise,None
l_377,n_id1517,n_id1518,50 km/h,Gladstone Road,None
l_378,n_id1399,n_id1385,50 km/h,Parnell Rise,None
l_379,n_id66,n_id76,50 km/h,Jervois Road,None
l_380,n_id1120,n_id1096,50 km/h,Park Road,None
l_381,n_id1429,n_id1426,50 km/h,Parnell Road,None
l_382,n_id1168,n_id1148,30 km/h,Bowen Avenue,None
l_383,n_id1122,n_id1107,50 km/h,Khyber Pass Road,None
l_384,n_id894,n_id895,30 km/h,Queen Street,None
l_385,n_id1218,n_id1198,50 km/h,Park Road,None
l_386,n_id1200,n_id1215,50 km/h,Park Road,None
l_387,n_id1398,n_id1404,50 km/h,Davis Crescent,None
l_388,n_id1391,n_id1398,50 km/h,Davis Crescent,None
l_389,n_id971,n_id976,30 km/h,Symonds Street,None
l_390,n_id1095,n_id1112,50 km/h,Grafton Road,None
l_391,n_id1242,n_id1234,30 km/h,Waterloo Quadrant,None
l_392,n_id535,n_id508,30 km/h,Jellicoe Street,None
l_393,n_id1078,n_id1090,50 km/h,Grafton Road,None
l_394,n_id393,n_id406,30 km/h,Victoria Street W,None
l_395,n_id1280,n_id1297,30 km/h,Anzac Avenue,None
l_396,n_id1276,n_id1264,30 km/h,Alten Road,None
l_397,n_id1133,n_id1138,50 km/h,Grafton Road,None
l_398,n_id1287,n_id1289,30 km/h,Alten Road,None
l_399,n_id1258,n_id1242,30 km/h,Waterloo Quadrant,None
l_400,n_id352,n_id360,30 km/h,Hepburn Street,None
l_401,n_id1174,n_id1168,30 km/h,Bowen Avenue,None
l_402,n_id1112,n_id1115,50 km/h,Grafton Road,None
l_403,n_id1394,n_id1395,50 km/h,Broadway,None
l_404,n_id1538,n_id1537,50 km/h,Tamaki Drive,None
l_405,n_id891,n_id894,30 km/h,Queen Street,None
l_406,n_id54,n_id64,50 km/h,Richmond Road,None
l_407,n_id49,n_id54,50 km/h,Richmond Road,None
l_408,n_id64,n_id67,50 km/h,Richmond Road,None
l_409,n_id312,n_id317,40 km/h,Ponsonby Road,None
l_410,n_id1184,n_id1174,30 km/h,Waterloo Quadrant,None
l_411,n_id75,n_id77,50 km/h,Richmond Road,None
l_412,n_id360,n_id367,30 km/h,Wellington Street,None
l_413,n_id1322,n_id1320,30 km/h,Beach Road,None
l_414,n_id89,n_id91,50 km/h,Curran Street,None
l_415,n_id508,n_id504,30 km/h,Beaumont Street,None
l_416,n_id372,n_id378,30 km/h,Victoria Street W,None
l_417,n_id374,n_id371,30 km/h,Beaumont Street,None
l_418,n_id356,n_id350,30 km/h,Beaumont Street,None
l_419,n_id369,n_id372,30 km/h,Victoria Street W,None
l_420,n_id1281,n_id1276,30 km/h,Alten Road,None
l_421,n_id1289,n_id1281,30 km/h,Alten Road,None
l_422,n_id1148,n_id1141,30 km/h,Bowen Avenue,None
l_423,n_id1325,n_id1322,30 km/h,Beach Road,None
l_424,n_id1022,n_id1031,30 km/h,Symonds Street,None
l_425,n_id2,n_id3,50 km/h,Jervois Road,None
l_426,n_id1492,n_id1501,50 km/h,Gladstone Road,None
l_427,n_id1157,n_id1171,50 km/h,Mountain Road,None
l_428,n_id930,n_id931,30 km/h,Symonds Street,None
l_429,n_id1131,n_id1120,50 km/h,Park Road,None
l_430,n_id1156,n_id1143,50 km/h,Park Road,None
l_431,n_id1143,n_id1131,50 km/h,Park Road,None
l_432,n_id226,n_id229,50 km/h,Richmond Road,None
l_433,n_id1015,n_id1022,30 km/h,Symonds Street,None
l_434,n_id1183,n_id1146,50 km/h,Khyber Pass Road,None
l_435,n_id1178,n_id1179,50 km/h,Mountain Road,None
l_436,n_id0,n_id1,50 km/h,Jervois Road,None
l_437,n_id1,n_id2,50 km/h,Jervois Road,None
l_438,n_id1215,n_id1224,50 km/h,Park Road,None
l_439,n_id1127,n_id1122,50 km/h,Khyber Pass Road,None
l_440,n_id24,n_id26,50 km/h,Great North Road,None
l_441,n_id1501,n_id1508,50 km/h,Gladstone Road,None
l_442,n_id1508,n_id1512,50 km/h,Gladstone Road,None
l_443,n_id367,n_id388,30 km/h,Wellington Street,None
l_444,n_id1515,n_id1513,50 km/h,Gladstone Road,None
l_445,n_id1411,n_id1414,50 km/h,Broadway,None
l_446,n_id21,n_id24,50 km/h,Great North Road,None
l_447,n_id268,n_id283,50 km/h,College Hill,None
l_448,n_id257,n_id268,50 km/h,College Hill,None
l_449,n_id1293,n_id1287,30 km/h,Alten Road,None
l_450,n_id1181,n_id1176,50 km/h,Park Road,None
l_451,n_id1176,n_id1156,50 km/h,Park Road,None
l_452,n_id1198,n_id1190,50 km/h,Park Road,None
l_453,n_id1190,n_id1188,50 km/h,Park Road,None
l_454,n_id590,n_id599,30 km/h,Halsey Street,None
l_455,n_id1507,n_id1505,50 km/h,Ayr Street,None
l_456,n_id1505,n_id1502,50 km/h,Ayr Street,None
